名称,播放量,播放量2,更新至第n集
双生特工,7911.5万,79115000,27
不是游戏是恋爱,1.4亿,140000000,25
梅娘传,2.2亿,220000000,28
单亲妈妈再婚记,2.2亿,220000000,31
逆袭少女已上线,1.1亿,110000000,24
逆光,1.6亿,160000000,23
万渣朝凰,4.7亿,470000000,24
暗影女保镖,1.1亿,110000000,28
小甜妻2,1.8亿,180000000,24
律政奶爸,1亿,100000000,18
D级爱豆,1.2亿,120000000,25
长公主在上,4.4亿,440000000,26
人间烟火之华山论菜,8611.2万,86112000,2
无法抗拒的她,1.3亿,130000000,28
毛小旭的触电人生,9834.3万,98343000,30
我的傲娇御爷,5.8亿,580000000,24
单亲妈妈奋斗记,4亿,400000000,26
金牌婆婆,1.6亿,160000000,25
再遇见时请相爱,3.6亿,360000000,30
婆婆驾到,5382.4万,53824000,19
女人的觉醒,6.2亿,620000000,29
破次元爱恋,1.4亿,140000000,27
凤求凰,6211.7万,62117000,13
我去平行时空爱你,1.3亿,130000000,26
沉溺星海,3368.5万,33685000,22
公主的骑士,1256.6万,12566000,25
这个江湖没有玛丽苏,6141.3万,61413000,21
全世界都误会我们在恋爱,1462.5万,14625000,20
妈妈是超人,2.1亿,210000000,32
我在你的世界里,4686.9万,46869000,24
CP马拉松,1.3亿,130000000,25
一不小心爱上你,1.3亿,130000000,21
女主人设不能崩！,6647.8万,66478000,20
恋爱，从结婚开始,4836.5万,48365000,20
逆战,1.7亿,170000000,26
超感姐妹,9703.7万,97037000,25
听见你的心声,4967.7万,49677000,24
天赐小祖宗,,-,23
拒绝易少的36计,,-,30
齐小姐的呆萌小姑爷,,-,24
封魔Ⅱ,,-,22
这个女主会读心,,-,27
厉太太有点甜,,-,24
分手之后爱上你,,-,22
超级保安,,-,25
凰在上,,-,21
鸵鸟进化记,,-,22
下一刻再心动2,,-,22
家庭主妇的逆袭,,-,21
姑娘好心机,,-,17
使者,,-,17
消失的恋人,,-,21
漫漫追妻路,,-,32
小白花黑化记,,-,25
少卿的爱妻日常,,-,20
诡语者,,-,21
就想和你谈恋爱,,-,22
超模的秘密,,-,24
最强女婿,,-,13
消失的丈夫,,-,20
进击的主妇,,-,24
必须犯规的游戏·重启之黑暗双子,,-,9
娱乐圈之这对CP我锁了,,-,13
冒牌千金请就位,,-,24
甜蜜陷阱,,-,25
攻略吧，哥哥,,-,22
盗版王妃,,-,21
拯救男主攻略,,-,27
恰似你的温柔,,-,24
变美丑妃反击中,,-,24
老婆今天又虐渣了呢,,-,19
从没想过失去你,,-,20
霍先生，你是我的言不由衷,,-,27
沈少的小祖宗,,-,26
将军在上我在下,,-,25
姜总请签字,,-,25
沈爷的穿书小甜妻,,-,24
翻身吧未婚妻,,-,30
乱世谪仙,,-,17
饶了我吧经纪人姐姐,,-,25
夫人不好惹,,-,30
他的女友甜又野,,-,25
月老竟是我男友,,-,23
纸短婚长,,-,27
贺睿泽，你别过来！,,-,26
女主，对不起！,,-,33
另一个时空的你,,-,20
